[-182.37842   -57.744747  692.0281  ],[-61.74383  -49.322395 628.9381  ],[ 61.608482 -40.65648  555.0095  ],[179.22905  -32.368706 474.60016 ],[287.01294 -25.09934 395.76978]
[-182.38666   -57.815083  692.05096 ],[-61.718487 -49.230377 628.65784 ],[ 61.96291  -40.760498 555.10876 ],[179.15788 -32.51859 474.35565],[286.9346   -24.943274 395.69116 ]
[-182.37842   -57.744747  692.0281  ],[-61.735622 -49.320415 628.5697  ],[ 61.932934 -40.76654  554.81934 ],[179.36961  -32.507404 474.2581  ],[286.7661  -25.23471 395.44302]
[-182.37842   -57.744747  692.0281  ],[-61.693222 -49.13839  628.37756 ],[ 61.96291  -40.760498 555.10876 ],[179.6946  -32.63285 474.3188 ],[286.6879   -25.078709 395.36453 ]
[-182.38666   -57.815083  692.05096 ],[-61.693222 -49.13839  628.37756 ],[ 61.91619 -40.64892 554.756  ],[179.7177  -32.49315 474.3282 ],[286.91733  -25.059763 395.68857 ]
[-182.37842   -57.744747  692.0281  ],[-61.71701  -49.136017 628.6129  ],[ 61.94613  -40.642853 555.04535 ],[179.87953  -32.619743 474.72214 ],[287.13153  -25.049284 395.65582 ]
[-182.3346   -57.74547  691.86005],[-61.740814 -49.13365  628.8484  ],[ 61.94613  -40.642853 555.04535 ],[179.87953  -32.619743 474.72214 ],[286.91733  -25.059763 395.68857 ]
[-182.37842   -57.744747  692.0281  ],[-61.742264 -49.22802  628.89325 ],[ 62.00603 -40.63074 555.6246 ],[179.99635 -32.60803 475.0417 ],[287.37677 -25.02183 396.33762]
[-182.38666   -57.815083  692.05096 ],[-61.764633 -49.13129  629.08386 ],[ 62.00603 -40.63074 555.6246 ],[180.06805 -32.4579  475.28677],[287.83716  -24.983835 396.98798 ]
[-182.37842   -57.744747  692.0281  ],[-61.78985 -49.2233  629.3643 ],[ 62.035988 -40.62468  555.9144  ],[179.9977  -32.58736 475.93045],[288.2985   -24.945784 397.63965 ]
[-182.37842   -57.744747  692.0281  ],[-61.832268 -49.405598 629.5563  ],[ 62.06596 -40.61862 556.20435],[179.85645  -32.448196 476.27325 ],[288.76065 -24.90767 398.2926 ]
[-182.42224   -57.744034  692.1961  ],[-61.742264 -49.22802  628.89325 ],[ 62.06596 -40.61862 556.20435],[179.92783  -32.298058 476.5191  ],[288.99213 -24.88859 398.61957]
[-182.37842   -57.744747  692.0281  ],[-61.740814 -49.13365  628.8484  ],[ 61.41877 -40.6399  556.4206 ],[180.16142  -32.274464 477.16064 ],[289.70535  -24.713562 399.60538 ]
